@relation BlackBoxAuditing
@attribute checking_status {"no checking",>=200,0<=X<200,<0}
@attribute duration numeric
@attribute credit_history {"no credits/all paid","all paid","delayed previously","critical/other existing credit","existing paid"}
@attribute purpose {repairs,education,"used car",business,retraining,furniture/equipment,"domestic appliance","new car",other,radio/tv}
@attribute credit_amount numeric
@attribute savings_status {500<=X<1000,<100,>=1000,100<=X<500,"no known savings"}
@attribute employment {>=7,4<=X<7,unemployed,1<=X<4,<1}
@attribute installment_commitment numeric
@attribute personal_status {"female div/dep/mar","male single","male mar/wid","male div/sep"}
@attribute other_parties {guarantor,"co applicant",none}
@attribute residence numeric
@attribute property_magnitude {"life insurance",car,"no known property","real estate"}
@attribute age_cat {old,young}
@attribute other_payment_plans {none,stores,bank}
@attribute housing {"for free",own,rent}
@attribute existing_credits numeric
@attribute job {"high qualif/self emp/mgmt",skilled,"unskilled resident","unemp/unskilled non res"}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {bad,good}

@data
"no checking",12,"critical/other existing credit",radio/tv,930,"no known savings",>=7,4,"male single",none,4,"real estate",old,none,own,4,skilled,1,none,yes,good
0<=X<200,15,"no credits/all paid","new car",1778,<100,<1,2,"female div/dep/mar",none,1,"real estate",old,none,rent,2,"unemp/unskilled non res",1,none,yes,bad
0<=X<200,8,"existing paid",business,907,<100,<1,3,"male mar/wid",none,2,"real estate",old,none,own,1,skilled,1,yes,yes,good
0<=X<200,6,"existing paid",radio/tv,484,<100,4<=X<7,3,"male mar/wid",guarantor,3,"real estate",old,bank,own,1,"unskilled resident",1,none,yes,good
<0,36,"critical/other existing credit","used car",9629,<100,4<=X<7,4,"male single",none,4,car,young,none,own,2,skilled,1,yes,yes,bad
<0,48,"existing paid","domestic appliance",3051,<100,1<=X<4,3,"male single",none,4,car,old,none,own,1,skilled,1,none,yes,bad
<0,48,"existing paid","new car",3931,<100,4<=X<7,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,2,none,yes,bad
0<=X<200,36,"delayed previously","new car",7432,<100,1<=X<4,2,"female div/dep/mar",none,2,"life insurance",old,none,rent,1,skilled,1,none,yes,good
"no checking",6,"existing paid","domestic appliance",1338,500<=X<1000,1<=X<4,1,"male div/sep",none,4,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,36,"existing paid",other,15857,<100,unemployed,2,"male div/sep","co applicant",3,car,old,none,own,1,"high qualif/self emp/mgmt",1,none,yes,good
"no checking",12,"existing paid","new car",1101,<100,1<=X<4,3,"male mar/wid",none,2,"real estate",old,none,own,2,skilled,1,yes,yes,good
<0,36,"existing paid",furniture/equipment,2712,<100,>=7,2,"male single",none,2,"life insurance",old,bank,own,1,skilled,2,none,yes,bad
"no checking",18,"critical/other existing credit",furniture/equipment,3780,<100,<1,3,"male div/sep",none,2,car,old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
<0,18,"critical/other existing credit","new car",3966,<100,>=7,1,"female div/dep/mar",none,4,"real estate",old,bank,rent,3,skilled,1,yes,yes,bad
"no checking",18,"no credits/all paid",business,4165,<100,1<=X<4,2,"male single",none,2,car,old,stores,own,2,skilled,2,none,yes,bad
<0,36,"existing paid","used car",8335,"no known savings",>=7,3,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,none,yes,bad
0<=X<200,48,"delayed previously",business,6681,"no known savings",1<=X<4,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,2,yes,yes,good
<0,45,"no credits/all paid",business,11816,<100,>=7,2,"male single",none,4,car,old,none,rent,2,skilled,1,none,yes,bad
0<=X<200,24,"existing paid",radio/tv,5084,"no known savings",>=7,2,"female div/dep/mar",none,4,car,old,none,own,1,skilled,1,yes,yes,good
>=200,15,"existing paid",radio/tv,2327,<100,<1,2,"female div/dep/mar",none,3,"real estate",young,none,own,1,"unskilled resident",1,none,yes,bad
<0,12,"no credits/all paid","new car",1082,<100,1<=X<4,4,"male single",none,4,car,old,bank,own,2,skilled,1,none,yes,bad
"no checking",12,"existing paid",radio/tv,886,"no known savings",1<=X<4,4,"female div/dep/mar",none,2,car,young,none,own,1,skilled,1,none,yes,good
"no checking",4,"existing paid",furniture/equipment,601,<100,<1,1,"female div/dep/mar",none,3,"real estate",young,none,rent,1,"unskilled resident",2,none,yes,good
<0,36,"existing paid",furniture/equipment,5179,<100,4<=X<7,4,"male single",none,2,"life insurance",old,none,own,1,skilled,1,none,yes,bad
"no checking",21,"delayed previously","used car",2993,<100,1<=X<4,3,"male single",none,2,"real estate",old,stores,own,2,"unskilled resident",1,none,yes,good
"no checking",18,"existing paid",repairs,1943,<100,<1,4,"female div/dep/mar",none,4,"real estate",young,none,own,1,skilled,1,none,yes,bad
"no checking",24,"all paid",business,1559,<100,4<=X<7,4,"male single",none,4,car,old,bank,own,1,skilled,1,yes,yes,good
0<=X<200,21,"existing paid",furniture/equipment,3976,"no known savings",4<=X<7,2,"male single",none,3,car,old,none,own,1,skilled,1,yes,yes,good
"no checking",18,"existing paid","new car",6761,"no known savings",1<=X<4,2,"male single",none,4,car,old,none,rent,2,skilled,1,none,yes,bad
"no checking",24,"existing paid","new car",1249,<100,<1,4,"male mar/wid",none,2,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,9,"existing paid",radio/tv,1364,<100,4<=X<7,3,"male single",none,4,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,12,"existing paid",radio/tv,709,<100,>=7,4,"male single",none,4,"real estate",old,stores,own,1,"unskilled resident",1,none,yes,bad
"no checking",24,"critical/other existing credit","used car",4042,"no known savings",4<=X<7,3,"male single",none,4,"life insurance",old,none,own,2,skilled,1,yes,yes,good
<0,18,"all paid","new car",1442,<100,4<=X<7,4,"male single",none,4,"no known property",old,none,"for free",2,"unskilled resident",2,none,yes,bad
"no checking",24,"existing paid","new car",1474,100<=X<500,<1,4,"male mar/wid",none,3,"real estate",old,none,own,1,skilled,1,yes,yes,good
"no checking",10,"existing paid",retraining,894,"no known savings",4<=X<7,4,"female div/dep/mar",none,3,"life insurance",old,none,own,1,skilled,1,yes,yes,good
"no checking",15,"critical/other existing credit",furniture/equipment,3343,<100,1<=X<4,4,"male single",none,2,"no known property",old,none,"for free",1,skilled,1,yes,yes,good
"no checking",24,"critical/other existing credit","used car",5804,>=1000,1<=X<4,4,"male single",none,2,"real estate",old,none,own,2,skilled,1,none,yes,good
"no checking",27,"critical/other existing credit",furniture/equipment,4526,>=1000,<1,4,"male single",none,2,"real estate",old,stores,own,2,"unskilled resident",2,yes,yes,good
"no checking",10,"existing paid",furniture/equipment,2210,<100,1<=X<4,2,"male single",none,2,"real estate",young,bank,rent,1,"unskilled resident",1,none,yes,bad
<0,18,"existing paid",radio/tv,2389,<100,<1,4,"female div/dep/mar",none,1,car,old,stores,own,1,skilled,1,none,yes,good
<0,12,"existing paid",furniture/equipment,652,<100,>=7,4,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,good
"no checking",36,"delayed previously",furniture/equipment,7678,500<=X<1000,4<=X<7,2,"female div/dep/mar",none,4,car,old,none,own,2,skilled,1,yes,yes,good
>=200,6,"critical/other existing credit","new car",1343,<100,>=7,1,"male single",none,4,"real estate",old,none,own,2,skilled,2,none,no,good
0<=X<200,11,"critical/other existing credit","new car",1322,>=1000,1<=X<4,4,"female div/dep/mar",none,4,car,old,none,own,2,skilled,1,none,yes,good
<0,18,"all paid",radio/tv,1940,<100,<1,3,"male single","co applicant",4,"no known property",old,bank,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,9,"existing paid","new car",1422,<100,<1,3,"male single",none,2,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",24,"existing paid","used car",7814,<100,4<=X<7,3,"male single",none,3,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",24,"existing paid","used car",9277,"no known savings",1<=X<4,2,"male div/sep",none,4,"no known property",old,none,"for free",1,skilled,1,yes,yes,good
0<=X<200,30,"critical/other existing credit","new car",2181,"no known savings",>=7,4,"male single",none,4,"real estate",old,none,own,2,skilled,1,none,yes,good
"no checking",18,"critical/other existing credit",radio/tv,1098,<100,unemployed,4,"female div/dep/mar",none,4,car,old,none,own,2,"unemp/unskilled non res",1,none,yes,good
0<=X<200,24,"existing paid",furniture/equipment,4057,<100,4<=X<7,3,"male div/sep",none,3,car,old,none,own,1,skilled,1,yes,yes,bad
<0,12,"existing paid",education,795,<100,<1,4,"female div/dep/mar",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,bad
0<=X<200,24,"critical/other existing credit",business,2825,"no known savings",4<=X<7,4,"male single",none,3,"no known property",old,none,own,2,skilled,2,yes,yes,good
0<=X<200,48,"existing paid",business,15672,<100,1<=X<4,2,"male single",none,2,car,young,none,own,1,skilled,1,yes,yes,bad
"no checking",36,"critical/other existing credit","new car",6614,<100,>=7,4,"male single",none,4,car,old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
<0,27,"critical/other existing credit",business,2442,<100,>=7,4,"male single",none,4,car,old,stores,own,4,"high qualif/self emp/mgmt",2,yes,yes,good
<0,12,"critical/other existing credit","new car",2171,<100,1<=X<4,4,"male single",none,4,"life insurance",old,bank,own,2,"unskilled resident",1,none,no,good
"no checking",36,"delayed previously","used car",8947,"no known savings",4<=X<7,3,"male single",none,2,car,old,stores,own,1,"high qualif/self emp/mgmt",2,yes,yes,good
"no checking",15,"existing paid",furniture/equipment,2186,"no known savings",4<=X<7,1,"female div/dep/mar",none,4,"real estate",old,bank,rent,1,"unskilled resident",1,none,yes,good
<0,18,"existing paid",furniture/equipment,4153,<100,1<=X<4,2,"male single","co applicant",3,car,old,none,own,1,skilled,1,none,yes,bad
"no checking",36,"critical/other existing credit","used car",10477,"no known savings",>=7,2,"male single",none,4,"no known property",old,none,"for free",2,skilled,1,none,yes,good
"no checking",15,"existing paid",radio/tv,1386,"no known savings",1<=X<4,4,"male mar/wid",none,2,"real estate",old,none,rent,1,skilled,1,yes,yes,good
<0,12,"existing paid",radio/tv,1107,<100,1<=X<4,2,"male single",none,2,"real estate",young,none,rent,1,"high qualif/self emp/mgmt",2,yes,yes,good
0<=X<200,9,"existing paid","new car",3195,"no known savings",1<=X<4,1,"female div/dep/mar",none,2,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
"no checking",36,"delayed previously",radio/tv,4454,<100,1<=X<4,4,"female div/dep/mar",none,4,"real estate",old,none,own,2,skilled,1,none,yes,good
0<=X<200,30,"existing paid",radio/tv,2991,"no known savings",>=7,2,"female div/dep/mar",none,4,car,young,none,own,1,skilled,1,none,yes,good
"no checking",10,"existing paid","used car",2848,100<=X<500,1<=X<4,1,"male single","co applicant",2,"real estate",old,none,own,1,skilled,2,none,yes,good
<0,24,"existing paid",furniture/equipment,2359,100<=X<500,unemployed,1,"male div/sep",none,1,"life insurance",old,none,own,1,skilled,1,none,yes,bad
<0,24,"existing paid",furniture/equipment,3345,<100,>=7,4,"male single",none,2,"life insurance",old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",18,"critical/other existing credit",furniture/equipment,1817,<100,1<=X<4,4,"female div/dep/mar",none,2,"no known property",old,none,own,2,skilled,1,none,yes,good
"no checking",48,"delayed previously",radio/tv,12749,500<=X<1000,4<=X<7,4,"male single",none,1,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,9,"existing paid",radio/tv,1366,<100,<1,3,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,bad
<0,24,"all paid",furniture/equipment,6872,<100,<1,2,"male div/sep",none,1,"life insurance",old,bank,own,1,skilled,1,yes,yes,bad
<0,12,"all paid","new car",697,<100,<1,4,"male single",none,2,car,old,bank,own,2,skilled,1,yes,yes,bad
<0,18,"critical/other existing credit",furniture/equipment,1049,<100,<1,4,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,good
<0,48,"existing paid","used car",10297,<100,4<=X<7,4,"male single",none,4,"no known property",old,stores,"for free",3,skilled,2,yes,yes,bad
"no checking",30,"existing paid",radio/tv,1867,"no known savings",>=7,4,"male single",none,4,car,old,none,own,1,skilled,1,yes,yes,good
<0,12,"delayed previously","new car",1344,<100,1<=X<4,4,"male single",none,2,"real estate",old,none,own,2,"unskilled resident",2,none,yes,good
<0,24,"existing paid",furniture/equipment,1747,<100,<1,4,"male single","co applicant",1,"life insurance",young,none,own,1,"unskilled resident",1,none,no,good
0<=X<200,9,"existing paid",radio/tv,1670,<100,<1,4,"female div/dep/mar",none,2,car,young,none,own,1,skilled,1,yes,yes,bad
"no checking",9,"critical/other existing credit","new car",1224,<100,1<=X<4,3,"male single",none,1,"real estate",old,none,own,2,skilled,1,none,yes,good
"no checking",12,"critical/other existing credit",radio/tv,522,500<=X<1000,>=7,4,"male single",none,4,"life insurance",old,none,own,2,skilled,2,yes,yes,good
<0,12,"existing paid",radio/tv,1498,<100,1<=X<4,4,"female div/dep/mar",none,1,car,young,bank,own,1,skilled,1,none,yes,good
0<=X<200,30,"delayed previously",radio/tv,1919,100<=X<500,<1,4,"male single",none,3,"no known property",old,stores,own,2,"high qualif/self emp/mgmt",1,none,yes,bad
0<=X<200,6,"existing paid",radio/tv,2063,<100,<1,4,"male mar/wid",none,3,car,old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",24,"critical/other existing credit","used car",6842,"no known savings",1<=X<4,2,"male single",none,4,"life insurance",old,none,own,2,"high qualif/self emp/mgmt",2,yes,yes,good
"no checking",12,"existing paid","new car",3527,"no known savings",<1,2,"male single",none,3,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",2,yes,yes,good
"no checking",10,"existing paid","new car",1546,<100,1<=X<4,3,"male single",none,2,"real estate",old,none,own,1,"unskilled resident",2,none,no,good
<0,24,"all paid",furniture/equipment,3349,500<=X<1000,<1,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,2,yes,yes,bad
"no checking",12,"existing paid","new car",2859,"no known savings",unemployed,4,"male single",none,4,"no known property",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",18,"existing paid",furniture/equipment,1533,<100,<1,4,"male mar/wid","co applicant",1,"life insurance",old,none,own,1,"unskilled resident",2,none,yes,bad
"no checking",24,"existing paid",radio/tv,3621,100<=X<500,>=7,2,"male single",none,4,car,old,none,own,2,skilled,1,none,yes,bad
0<=X<200,18,"critical/other existing credit",business,3590,<100,unemployed,3,"male mar/wid",none,3,car,old,none,own,3,"unemp/unskilled non res",2,yes,yes,good
<0,36,"delayed previously",business,2145,<100,4<=X<7,2,"male single",none,1,car,young,none,own,2,skilled,1,yes,yes,bad
0<=X<200,24,"existing paid","used car",4113,500<=X<1000,<1,3,"female div/dep/mar",none,4,car,old,none,rent,1,skilled,1,none,yes,bad
"no checking",36,"existing paid",furniture/equipment,10974,<100,unemployed,4,"female div/dep/mar",none,2,car,old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,12,"existing paid","new car",1893,<100,1<=X<4,4,"female div/dep/mar",guarantor,4,"life insurance",old,none,own,1,skilled,1,yes,yes,good
<0,24,"critical/other existing credit",radio/tv,1231,>=1000,>=7,4,"female div/dep/mar",none,4,"life insurance",old,none,rent,2,"high qualif/self emp/mgmt",1,yes,yes,good
>=200,30,"critical/other existing credit",radio/tv,3656,"no known savings",>=7,4,"male single",none,4,"life insurance",old,stores,own,2,"unskilled resident",1,none,yes,good
0<=X<200,9,"critical/other existing credit",radio/tv,1154,<100,>=7,2,"male single",none,4,"real estate",old,none,own,3,"unskilled resident",1,none,yes,good
<0,28,"existing paid","new car",4006,<100,1<=X<4,3,"male single",none,2,car,old,none,own,1,"unskilled resident",1,none,yes,bad
"no checking",15,"existing paid","new car",3556,"no known savings",1<=X<4,3,"male single",none,2,"no known property",old,none,own,1,skilled,1,none,yes,good
0<=X<200,6,"existing paid",repairs,454,<100,<1,3,"male mar/wid",none,1,"life insurance",young,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,30,"existing paid",radio/tv,1715,"no known savings",1<=X<4,4,"female div/dep/mar",none,1,car,old,none,own,1,skilled,1,none,yes,good
0<=X<200,27,"critical/other existing credit",radio/tv,2520,500<=X<1000,1<=X<4,4,"male single",none,2,"life insurance",young,none,own,2,"unskilled resident",1,none,yes,bad
"no checking",42,"existing paid",radio/tv,7166,"no known savings",4<=X<7,2,"male mar/wid",none,4,"life insurance",old,none,rent,1,skilled,1,yes,yes,good
0<=X<200,15,"existing paid",repairs,1514,100<=X<500,1<=X<4,4,"male single",guarantor,2,"real estate",young,none,own,1,skilled,1,none,yes,good
<0,24,"all paid","new car",1193,<100,unemployed,1,"female div/dep/mar","co applicant",4,"no known property",old,none,rent,2,"unemp/unskilled non res",1,none,yes,bad
"no checking",30,"critical/other existing credit",radio/tv,2831,<100,1<=X<4,4,"female div/dep/mar",none,2,car,old,none,own,1,skilled,1,yes,yes,good
>=200,24,"existing paid",radio/tv,1258,500<=X<1000,1<=X<4,3,"female div/dep/mar",none,3,car,old,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,6,"existing paid",radio/tv,753,<100,1<=X<4,2,"female div/dep/mar",guarantor,3,"real estate",old,none,own,1,skilled,1,none,yes,good
0<=X<200,18,"delayed previously",business,2427,"no known savings",>=7,4,"male single",none,2,"life insurance",old,none,own,2,skilled,1,none,yes,good
0<=X<200,15,"all paid","new car",1264,100<=X<500,1<=X<4,2,"male mar/wid",none,2,"life insurance",young,none,rent,1,skilled,1,none,yes,bad
0<=X<200,30,"critical/other existing credit",furniture/equipment,8386,<100,4<=X<7,2,"male single",none,2,"life insurance",old,none,own,1,skilled,1,none,yes,bad
"no checking",48,"existing paid",business,4844,<100,unemployed,3,"male single",none,2,car,old,bank,rent,1,"high qualif/self emp/mgmt",1,yes,yes,bad
>=200,21,"existing paid","new car",2923,100<=X<500,1<=X<4,1,"female div/dep/mar",none,1,car,old,bank,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",24,"critical/other existing credit",furniture/equipment,2028,<100,4<=X<7,2,"male single",none,2,"life insurance",old,none,own,2,"unskilled resident",1,none,yes,good
<0,15,"critical/other existing credit",furniture/equipment,1433,<100,1<=X<4,4,"female div/dep/mar",none,3,"life insurance",young,none,rent,2,skilled,1,none,yes,good
"no checking",12,"critical/other existing credit",education,3565,"no known savings",<1,2,"male single",none,1,"life insurance",old,none,own,2,"unskilled resident",2,none,yes,good
<0,18,"existing paid",radio/tv,1936,"no known savings",4<=X<7,2,"male mar/wid",none,4,car,young,none,rent,2,"unskilled resident",1,none,yes,good
"no checking",12,"existing paid","new car",2390,"no known savings",>=7,4,"male single",none,3,car,old,none,own,1,skilled,1,yes,yes,good
"no checking",12,"existing paid",radio/tv,804,<100,>=7,4,"male single",none,4,car,old,none,own,1,skilled,1,none,yes,good
<0,45,"existing paid",radio/tv,1845,<100,1<=X<4,4,"male single",none,4,"no known property",young,none,"for free",1,skilled,1,yes,yes,bad
